series_index,cluster,probability,outlier_score,is_outlier,is_core,is_border
109,0,0.6966732292867177,0.3033267707132823,False,False,True
110,0,0.664855161718202,0.335144838281798,False,False,True
111,-1,0.0,0.4373679713676522,True,False,False
112,-1,0.0,0.24569542453829527,True,False,False
113,-1,0.0,0.003371066611959742,True,False,False
114,-1,0.0,0.23276832062765399,True,False,False
115,-1,0.0,0.12408368100062556,True,False,False
116,-1,0.0,0.3055313669596958,True,False,False
117,-1,0.0,0.4526865825312525,True,False,False
118,-1,0.0,0.33416459545599514,True,False,False
119,1,0.6948945769158025,0.30510542308419747,False,False,True
120,0,0.7199744194933259,0.28002558050667414,False,False,True
121,0,0.5703467471035139,0.4296532528964862,False,False,True
122,-1,0.0,0.23988645785006119,True,False,False
123,-1,0.0,0.016698732284516887,True,False,False
124,-1,0.0,0.341749861706835,True,False,False
